timestamp,open,high,low,close,volumen,num_trades
2017-08-17 04:00:00,4261.48000000,4280.56000000,4261.48000000,4261.48000000,2.18906100,9
2017-08-17 04:05:00,4261.48000000,4261.48000000,4261.48000000,4261.48000000,0.00000000,0
2017-08-17 04:10:00,4261.48000000,4261.48000000,4261.48000000,4261.48000000,0.00000000,0
2017-08-17 04:15:00,4261.48000000,4264.88000000,4261.48000000,4261.48000000,0.48466600,9
2017-08-17 04:20:00,4264.88000000,4266.29000000,4264.88000000,4266.29000000,2.32857000,11
2017-08-17 04:25:00,4266.29000000,4270.41000000,4261.32000000,4261.45000000,6.30662900,20
2017-08-17 04:30:00,4280.00000000,4296.63000000,4267.99000000,4296.63000000,7.93813300,23
2017-08-17 04:35:00,4300.38000000,4300.38000000,4300.38000000,4300.38000000,5.62659600,14
2017-08-17 04:40:00,4300.38000000,4310.07000000,4300.38000000,4310.07000000,8.35882300,21
2017-08-17 04:45:00,4310.07000000,4310.07000000,4292.01000000,4292.01000000,2.44810000,14
2017-08-17 04:50:00,4292.01000000,4313.62000000,4292.01000000,4313.60000000,4.75888300,21
2017-08-17 04:55:00,4302.48000000,4313.62000000,4291.37000000,4308.83000000,6.74154800,29
2017-08-17 05:00:00,4308.83000000,4308.83000000,4304.31000000,4304.31000000,0.48285500,13
2017-08-17 05:05:00,4308.83000000,4328.69000000,4308.83000000,4328.69000000,4.27477200,21
2017-08-17 05:10:00,4328.69000000,4328.69000000,4304.31000000,4304.31000000,0.34352600,10
2017-08-17 05:15:00,4320.00000000,4320.00000000,4312.14000000,4320.00000000,5.45153300,11
2017-08-17 05:20:00,4320.00000000,4320.00000000,4320.00000000,4320.00000000,3.44647300,11
2017-08-17 05:25:00,4319.22000000,4320.00000000,4319.22000000,4320.00000000,7.04948900,7
2017-08-17 05:30:00,4320.00000000,4320.00000000,4320.00000000,4320.00000000,1.02737800,11
2017-08-17 05:35:00,4320.00000000,4320.00000000,4291.37000000,4291.37000000,1.12807500,14
2017-08-17 05:40:00,4291.37000000,4291.37000000,4291.37000000,4291.37000000,0.00000000,0
2017-08-17 05:45:00,4297.04000000,4297.04000000,4297.04000000,4297.04000000,0.00788400,1
2017-08-17 05:50:00,4315.32000000,4315.32000000,4315.32000000,4315.32000000,0.00094300,1
2017-08-17 05:55:00,4315.32000000,4315.32000000,4315.32000000,4315.32000000,0.02198800,2
2017-08-17 06:00:00,4330.29000000,4330.29000000,4330.29000000,4330.29000000,0.00933900,1
